volt,photo,cap,
0.1,0.293,781,
0.2,0.293,780.5,
0.3,0.293,782,
0.4,0.292,782,
0.5,0.291,782,
0.6,0.29,783,
0.7,0.287,785,
0.8,0.275,792,
0.9,0.22,823.7,
1,0.115,903.3,
1.1,0.0253,983.7,nF
1.2,0.0083,1059.2,1.0592
1.3,0.088,1128,1.128
1.4,0.172,1188.2,1.1882
1.5,0.243,1240.9,1.2409
1.6,0.305,1286,1.286
1.7,0.348,1325.2,1.3252
1.8,0.3639,1358.8,1.3588
1.9,0.354,1388.1,1.3881
2,0.328,1413.5,1.4135
2.1,0.3,1436.2,1.4362
2.2,0.272,1455.9,1.4559
2.3,0.248,1473.5,1.4735
2.4,0.227,1489.1,1.4891
2.5,0.208,1503.5,1.5035
3,0.147,1559,1.559
4,0.091,1626.6,1.6266
5,0.063,1667.1,1.6671
6,0.0481,1694.3,1.6943
7,0.038,1715.3,1.7153
8,0.031,1727.8,1.7278
9,0.0263,1738.8,1.7388
10,0.023,1747.6,1.7476
11,0.0201,1744.8,1.7448
12,0.0179,1760.7,1.7607
13,0.01626,1765.8,1.7658
14,0.0148,1770.2,1.7702
15,0.0136,1774.1,1.7741
