voltage,cap
0.1,9.76E-11
0.2,9.54E-11
0.3,9.47E-11
0.4,9.45E-11
0.5,9.45E-11
0.6,9.46E-11
0.7,9.47E-11
0.8,9.51E-11
0.9,9.56E-11
1,9.65E-11
1.1,9.81E-11
1.2,1.01E-10
1.3,1.06E-10
1.4,1.16E-10
1.5,1.32E-10
1.6,1.47E-10
1.7,1.56E-10
1.8,1.61E-10
1.9,1.65E-10
2,1.69E-10
2.1,1.71E-10
2.2,1.74E-10
2.3,1.76E-10
2.4,1.78E-10
2.5,1.80E-10
2.6,1.82E-10
2.7,1.83E-10
2.8,1.85E-10
2.9,1.86E-10
3,1.87E-10
3.1,1.88E-10
3.2,1.89E-10
3.3,1.90E-10
3.4,1.91E-10
3.5,1.92E-10
3.6,1.93E-10
3.7,1.93E-10
3.8,1.94E-10
3.9,1.95E-10
4,1.95E-10
4.1,1.96E-10
4.2,1.96E-10
4.3,1.97E-10
4.4,1.97E-10
4.5,1.98E-10
4.6,1.98E-10
4.7,1.99E-10
4.8,1.99E-10
4.9,2.00E-10
5,2.00E-10
5.1,2.00E-10
5.2,2.01E-10
5.3,2.01E-10
5.4,2.01E-10
5.5,2.02E-10
5.6,2.02E-10
5.7,2.02E-10
5.8,2.02E-10
5.9,2.03E-10
6,2.03E-10
6.1,2.03E-10
6.2,2.03E-10
6.3,2.04E-10
6.4,2.04E-10
6.5,2.04E-10
6.6,2.04E-10
6.7,2.05E-10
6.8,2.05E-10
6.9,2.05E-10
7,2.05E-10
7.1,2.05E-10
7.2,2.05E-10
7.3,2.06E-10
7.4,2.06E-10
7.5,2.06E-10
7.6,2.06E-10
7.7,2.06E-10
7.8,2.06E-10
7.9,2.07E-10
8,2.07E-10
8.1,2.07E-10
8.2,2.07E-10
8.3,2.07E-10
8.4,2.07E-10
8.5,2.07E-10
8.6,2.07E-10
8.7,2.08E-10
8.8,2.08E-10
8.9,2.08E-10
9,2.08E-10
9.1,2.08E-10
9.2,2.08E-10
9.3,2.08E-10
9.4,2.08E-10
9.5,2.08E-10
9.6,2.09E-10
9.7,2.09E-10
9.8,2.09E-10
9.9,2.09E-10
